term,tag,value
адмиральша,NEUT,0.08
адреналин,PSTV,0.57
адреналиновый,NEUT,0.32
адрес,NEUT,0.0
адресант,NEUT,0.07
адресат,NEUT,0.0
адресация,NEUT,0.1
адресный,NEUT,0.0
адресовать,NEUT,0.0
адресоваться,NEUT,0.0
адресок,NEUT,0.19
адски,NGTV,-1.0
адский,NGTV,-1.0
адъютант,NEUT,0.01
адъютантский,NEUT,0.0
ажиотаж,NEUT,0.19
ажиотажный,NGTV,-0.39
ажур,NEUT,0.38
ажурный,NEUT,0.49
аз,NEUT,0.4
азарт,NEUT,-0.31
азартный,NGTV,-0.48
азбука,NEUT,0.5
азбучный,NEUT,0.0
азиатка,NEUT,0.02
азимут,NEUT,0.02
азовский,NEUT,0.1
азот,NEUT,0.0
азотный,NEUT,-0.13
азотсодержащий,NEUT,0.0
аид,NGTV,-0.7
аист,PSTV,0.55
ай-кью,NEUT,0.44
айва,NEUT,0.34
айкидо,NEUT,0.24
айран,NEUT,0.42
айсберг,NEUT,0.0
айтишник,NEUT,0.09
айфон,NEUT,0.25
академгородок,NEUT,0.44
академик,NEUT,0.54
академически,NEUT,0.29
академический,NEUT,0.36
академичность,NEUT,0.52
академия,NEUT,0.53
акация,NEUT,0.52
акваланг,NEUT,0.39
аквалангист,NEUT,0.14
аквамарин,NEUT,0.26
аквамариновый,NEUT,0.22
аквапарк,PSTV,0.78
акварель,NEUT,0.4
акварельный,NEUT,0.36
аквариум,NEUT,0.0
аквариумист,NEUT,0.04
аквариумный,NEUT,0.0
акватория,NEUT,0.0
акведук,NEUT,0.23
аккаунт,NEUT,0.11
акклиматизация,NEUT,0.32
акклиматизироваться,PSTV,0.59
аккомпанемент,NEUT,0.16
аккомпаниатор,NEUT,0.47
аккомпанировать,NEUT,0.47
аккорд,NEUT,0.39
аккордеон,NEUT,0.36
аккордеонист,NEUT,0.33
аккумулирование,NEUT,0.46
аккумулировать,NEUT,0.31
аккумулятор,NEUT,0.12
аккумуляторный,NEUT,0.0
аккуратист,PSTV,0.69
аккуратненький,PSTV,1.0
аккуратненько,PSTV,0.89
аккуратность,PSTV,1.0
аккуратный,PSTV,1.0
акрил,NEUT,0.22
акробат,NEUT,0.41
акробатика,NEUT,0.34
акробатически,NEUT,0.37
акробатический,NEUT,0.27
акробатка,NEUT,0.38
аксессуар,NEUT,0.41
акт,NEUT,0.1
актив,PSTV,0.88
активатор,NEUT,0.0
активация,NEUT,0.42
активизация,NEUT,0.43
активизировать,NEUT,0.47
активизироваться,PSTV,0.68
активизм,PSTV,0.79
активирование,NEUT,0.4
активировать,NEUT,0.4
активист,PSTV,0.9
активистка,PSTV,0.83
активность,PSTV,0.78
активный,PSTV,1.0
актовый,NEUT,0.0
актриса,NEUT,0.39
актриска,NGTV,-0.48
актрисочка,NGTV,-0.51
актуализация,NEUT,0.54
актуализировать,NEUT,0.54
актуализироваться,PSTV,0.58
актуальность,PSTV,1.0
актуальный,PSTV,0.76
актёр,NEUT,0.37
актёришка,NGTV,-1.0
актёрка,NEUT,-0.25
актёрский,NEUT,0.3
актёрство,NEUT,0.42
актёрствовать,NEUT,-0.22
акула,NEUT,-0.26
акулий,NEUT,-0.12
акустический,NEUT,0.05
акушер,NEUT,0.45
акушерка,NEUT,0.51
акушерский,NEUT,0.0
акушерство,NEUT,0.47
акцент,NEUT,0.26
акцентирование,NEUT,0.37
акцентировать,NEUT,0.24
акцентный,NEUT,0.07
акциз,NEUT,0.0
акционер,NEUT,0.21
акционерный,NEUT,0.05
акция,PSTV,0.6
алабай,NEUT,0.46
алгебра,NEUT,0.26
алгебраический,NEUT,0.09
алгоритм,NEUT,0.09
алгоритмический,NEUT,0.21
аленький,PSTV,0.94
алеть,NEUT,0.31
алжирец,NEUT,0.0
алжирский,NEUT,0.0
алиби,NEUT,0.45
алименты,NEUT,-0.13
алкалоид,NEUT,-0.19
алкашка,NGTV,-1.0
алкоголизм,NGTV,-1.0
алкоголический,NGTV,-0.93
алкоголичка,NGTV,-1.0
алкогольный,NGTV,-0.68
алконавт,NGTV,-1.0
аллегоризм,NEUT,0.1
аллегорически,NEUT,0.15
аллейка,NEUT,0.2
аллерген,NGTV,-0.97
аллергический,NGTV,-0.73
аллергия,NGTV,-1.0
аллея,NEUT,0.42
аллигатор,NEUT,-0.29
алмаз,PSTV,0.64
алмазик,NEUT,0.49
алмазный,NEUT,0.53
алогичность,NGTV,-0.47
алогичный,NGTV,-0.46
алоэ,NEUT,0.31
алтаец,NEUT,0.07
алтайский,NEUT,0.24
алтарный,NEUT,0.38
алтарь,NEUT,0.43
алфавит,PSTV,0.55
алфавитный,NEUT,0.07
алхимик,NEUT,0.25
алхимический,NEUT,-0.03
алхимия,NEUT,0.28
алчность,NGTV,-1.0
алчный,NGTV,-1.0
алый,NEUT,0.28
алыча,NEUT,0.41
альбатрос,NEUT,0.24
альбинос,NEUT,0.22
альбиноска,NEUT,-0.06
альбомный,NEUT,0.0
альбомчик,NEUT,0.53
альпийский,NEUT,0.29
альпинизм,NEUT,0.2
альпинист,NEUT,0.38
альпинистка,NEUT,0.41
альпинистский,NEUT,0.06
альтернатива,NEUT,0.49
альтернативность,NEUT,0.21
альтернативный,NEUT,0.29
альтруизм,PSTV,0.8
альтруист,PSTV,0.92
альтруистически,PSTV,1.0
альтруистический,PSTV,0.9
альфа,NEUT,0.37
альфа-самец,NEUT,0.4
альфонс,NGTV,-0.98
альцгеймер,NGTV,-0.93
альянс,NEUT,0.48
алюминиевый,NEUT,0.0
алюминий,NEUT,0.1
амазонка,NEUT,0.28
амазонский,NEUT,0.22
амбал,NGTV,-0.64
амбар,NEUT,0.08
амбарный,NEUT,0.0
амбарчик,PSTV,0.6
амбициозность,PSTV,0.56
амбициозный,PSTV,0.9
амбиция,PSTV,0.62
амбулатория,NEUT,0.17
амбулаторный,NEUT,0.01
американец,NEUT,0.08
американизация,NEUT,0.0
американка,NEUT,0.24
американочка,NEUT,0.41
аметист,NEUT,0.08
аметистовый,NEUT,0.04
аминокислота,NEUT,0.32
аминокислотный,NEUT,0.1
аммиак,NEUT,0.0
амнезия,NGTV,-0.9
амнистия,PSTV,1.0
аморалка,NGTV,-1.0
аморальность,NGTV,-1.0
аморальный,NGTV,-1.0
амортизатор,NEUT,0.49
амортизация,NEUT,0.16
амортизировать,NEUT,0.39
аморфный,NEUT,-0.18
ампер,NEUT,0.0
амперметр,NEUT,0.19
ампир,NEUT,-0.07
амплитуда,NEUT,0.0
амплитудный,NEUT,0.0
амплуа,NEUT,0.0
ампула,NEUT,0.01
ампутация,NGTV,-0.93
ампутировать,NGTV,-0.88
амулет,PSTV,0.59
амуниция,NEUT,0.0
амур,PSTV,0.94
амурный,PSTV,1.0
амфетамин,NGTV,-0.63
амфибия,NEUT,0.0
амфитеатр,NEUT,0.35
амфора,NEUT,0.37
амёба,NEUT,-0.19
анабиоз,NEUT,0.0
анаконда,NEUT,-0.28
анализ,NEUT,0.39
анализатор,NEUT,0.1
анализаторный,NEUT,0.0
анализирование,NEUT,0.48
анализировать,PSTV,0.58
аналитически,NEUT,0.03
аналитический,NEUT,0.4
аналитичность,NEUT,0.5
аналог,NEUT,0.18
аналогий,NEUT,0.0
аналогичность,NEUT,0.25
аналогичный,NEUT,0.14
анальгин,NEUT,0.24
ананас,NEUT,0.48
ананасный,NEUT,0.16
ананасовый,NEUT,0.43
анархизм,NGTV,-0.43
анархист,NGTV,-0.54
анархистка,NGTV,-0.63
анархистский,NGTV,-0.66
анархический,NGTV,-0.52
анархия,NGTV,-0.68
анатомирование,NEUT,0.09
анатомически,NEUT,0.0
анатомический,NEUT,0.1
анатомия,NEUT,0.05
ангажированный,NGTV,-0.42
ангар,NEUT,0.0
ангел,PSTV,1.0
ангелок,PSTV,1.0
ангелочек,PSTV,1.0
ангельски,PSTV,1.0
ангельский,PSTV,1.0
ангина,NGTV,-0.91
ангиозный,NGTV,-0.68
англ,NEUT,0.19
англичанин,NEUT,0.22
англичанка,NEUT,0.15
англоман,NEUT,0.3
англосаксы,NEUT,0.0
андроид,NEUT,0.08
анекдот,PSTV,1.0
анекдотец,PSTV,0.58
анекдотический,PSTV,0.71
анекдотичный,PSTV,0.62
анемия,NGTV,-1.0
анестезиолог,NEUT,0.45
анестезировать,NEUT,0.26
анестезия,NEUT,0.32
аниматор,NEUT,0.54
анимация,NEUT,0.37
аниме,NEUT,0.32
анкета,NEUT,0.0
анкетирование,NEUT,0.0
анкетировать,NEUT,0.0
анкетный,NEUT,0.0
аннотация,NEUT,0.0
аннулирование,NEUT,-0.33
аннулировать,NGTV,-0.5
аномалия,NGTV,-0.48
аномальность,NGTV,-0.55
аномальный,NGTV,-0.59
аноним,NEUT,0.01
анонимка,NEUT,-0.29
анонимность,NEUT,0.0
анонимный,NEUT,0.0
анонимщик,NEUT,-0.21
анонс,NEUT,0.1
анонсировать,NEUT,0.07
анорексия,NGTV,-1.0
ансамбль,NEUT,0.49
антагонист,NGTV,-0.73
антагонистический,NGTV,-0.7
антагонистичный,NGTV,-0.85
антарктический,NEUT,0.02
антеннка,NEUT,0.28
антиалкогольный,NEUT,0.4
антиамериканизм,NGTV,-0.82
антибактериальный,PSTV,0.73
антибиотик,NEUT,0.43
антибиотикотерапия,NEUT,0.45
антивещество,NGTV,-0.46
антивирус,PSTV,0.97
антивоенный,PSTV,0.69
антигерой,NGTV,-0.88
антигосударственный,NGTV,-0.92
антигравитация,NEUT,-0.28
антигуманизм,NGTV,-1.0
антигуманность,NGTV,-1.0
антидемократический,NGTV,-0.95
антидепрессант,NEUT,0.39
антидот,PSTV,1.0
антиквар,NEUT,0.22
антиквариат,NEUT,0.43
антикварный,NEUT,0.32
антикоммунизм,NGTV,-0.39
антикоммунист,NGTV,-0.42
антикоммунистический,NGTV,-0.52
антикоррозионный,PSTV,0.65
антилопа,NEUT,0.38
антиматерия,NGTV,-0.35
антимонархический,NEUT,-0.34
антимонопольный,PSTV,0.57
антинародный,NGTV,-1.0
антинаучный,NGTV,-0.73
антиобщественный,NGTV,-0.95
антиоксидант,PSTV,0.63
антипартийный,NGTV,-0.49
антипатичный,NGTV,-1.0
антипатия,NGTV,-1.0
антипатриотизм,NGTV,-0.94
антипод,NEUT,-0.34
антиправительственный,NGTV,-0.63
антиреклама,NGTV,-0.47
антирелигиозный,NGTV,-0.4
антисанитария,NGTV,-1.0
антисанитарный,NGTV,-1.0
антисептик,PSTV,0.61
антисептический,NEUT,0.47
антисистема,NGTV,-0.66
антисоветизм,NGTV,-0.85
антисоветский,NGTV,-0.59
антисоветчик,NGTV,-1.0
антисталинизм,NEUT,0.37
антисталинист,NEUT,-0.33
антитело,NGTV,-0.37
антитеррор,PSTV,1.0
антитоксический,PSTV,0.86
антифашизм,PSTV,1.0
антифашист,PSTV,0.62
антифеодальный,NEUT,0.35
антифриз,NEUT,0.25
антихрист,NGTV,-1.0
антициклон,NEUT,-0.33
античность,NEUT,0.0
античный,NEUT,0.08
антоним,NEUT,-0.17
антоновка,NEUT,0.36
антракт,NEUT,0.22
антресоль,NEUT,0.09
антресольный,NEUT,0.0
антропогенез,NEUT,0.17
антрополог,NEUT,0.42
антропологический,NEUT,0.05
антропоморфический,NEUT,0.0
антураж,NEUT,0.27
анфас,NEUT,0.0
анчоус,NEUT,0.31
аншлаг,PSTV,0.6
аорта,NEUT,0.19
апартамент,NEUT,0.08
апартаменты,NEUT,0.41
апатичность,NGTV,-0.64
апатичный,NGTV,-0.92
апатия,NGTV,-0.87
апгрейд,PSTV,1.0
апеллировать,NEUT,0.08
апелляционный,NEUT,0.15
апелляция,NEUT,-0.18
апельсин,NEUT,0.39
апельсинный,NEUT,0.38
апельсиновый,NEUT,0.53
аплодировать,PSTV,1.0
аплодисменты,PSTV,1.0
апогей,NEUT,0.27
апокалипсис,NGTV,-1.0
апокалипсический,NGTV,-1.0
апорт,NEUT,0.18
апостол,PSTV,0.6
апостроф,NEUT,0.1
аппарат,NEUT,0.22
аппаратик,NEUT,0.31
аппаратный,NEUT,0.0
аппаратура,NEUT,0.1
аппаратчик,NEUT,0.17
аппендикс,NGTV,-0.35
аппендицит,NGTV,-0.97
апперкот,NEUT,0.21
аппетит,PSTV,0.6
аппетитность,PSTV,0.86
аппетитный,PSTV,1.0
аппликатор,NEUT,0.39
аппликация,NEUT,0.39
апрель,NEUT,0.16
апрельский,NEUT,0.29
априорный,NEUT,0.25
аптека,NEUT,0.53
аптекарский,NEUT,0.0
аптекарша,NEUT,0.4
аптекарь,NEUT,0.45
аптечка,PSTV,0.67
аптечный,NEUT,0.0
арабика,NEUT,0.02
аравийский,NEUT,0.04
аранжировка,NEUT,0.32
арахис,NEUT,0.38
арахисовый,NEUT,0.19
арбалет,NEUT,-0.24
арбалетный,NEUT,0.0
арбалетчик,NEUT,0.0
арбуз,PSTV,0.55
арбузный,NEUT,0.22
аргентинец,NEUT,0.02
аргумент,NEUT,0.47
аргументация,NEUT,0.44
аргументированно,NEUT,0.49
аргументированность,PSTV,0.82
аргументированный,PSTV,0.75
аргументировать,NEUT,0.48
арена,NEUT,0.08
аренда,NEUT,0.15
арендатор,NEUT,0.13
арендный,NEUT,0.0
арендовать,NEUT,0.0
арендодатель,NEUT,0.1
арест,NGTV,-1.0
арестант,NGTV,-0.76
арестантка,NGTV,-0.81
арестование,NGTV,-0.92
арестовать,NGTV,-0.84
арестовывать,NGTV,-0.72
ариец,NEUT,0.0
аристократ,NEUT,0.5
аристократизм,NEUT,0.29
аристократически,NEUT,0.43
аристократический,NEUT,0.52
аристократичность,NEUT,0.54
аристократичный,PSTV,0.55
аристократишка,NGTV,-0.98
аристократия,NEUT,0.24
аристократка,NEUT,0.4
аритмичный,NGTV,-0.54
аритмия,NGTV,-0.94
арифметически,NEUT,0.1
арифметический,NEUT,0.04
арктический,NEUT,0.09
арлекин,NEUT,0.47
армагеддон,NGTV,-1.0
арматура,NEUT,0.0
арматурный,NEUT,0.22
армеец,NEUT,0.18
армейский,NEUT,0.01
армия,NEUT,-0.21
армрестлинг,NEUT,0.17
армянин,NEUT,0.15
армянка,NEUT,0.07
аромат,PSTV,0.67
ароматерапия,PSTV,0.7
ароматизация,NEUT,0.35
ароматический,PSTV,0.56
ароматичность,PSTV,0.62
ароматичный,PSTV,0.57
ароматный,PSTV,1.0
арочка,NEUT,0.43
арочный,NEUT,0.0
арсенал,NEUT,0.13
арт,NEUT,0.42
арт-директор,NEUT,0.08
артельщик,NEUT,0.24
артериальный,NEUT,0.08
артерия,NEUT,0.0
артефакт,NEUT,0.24
артикль,NEUT,0.0
артикул,NEUT,0.0
артикулировать,NEUT,0.04
артиллерийский,NEUT,-0.21
артиллерист,NEUT,0.06
артиллерия,NEUT,-0.13
артист,NEUT,0.52
артистизм,PSTV,0.59
артистически,PSTV,0.73
артистический,PSTV,0.74
артистичность,PSTV,0.91
артистичный,PSTV,1.0
артистка,NEUT,0.31
артобстрел,NGTV,-0.73
артрит,NGTV,-1.0
артритный,NGTV,-0.55
артроз,NGTV,-0.9
арфа,NEUT,0.38
арфист,NEUT,0.15
архаизм,NEUT,-0.12
архаический,NEUT,0.11
архаичность,NEUT,-0.11
архаичный,NEUT,-0.14
архангел,PSTV,0.97
архангельский,PSTV,0.59
археолог,NEUT,0.32
археологический,NEUT,0.02
археология,NEUT,0.37
архив,NEUT,0.21
архиважный,PSTV,0.63
архивирование,NEUT,0.27
архивист,NEUT,0.08
архивный,NEUT,0.08
архиепископ,NEUT,0.2
архипелаг,NEUT,0.0
архитектор,NEUT,0.44
архитектура,NEUT,0.44
архитектурный,NEUT,0.22
аршин,NEUT,0.1
аршинный,NEUT,0.0
ас,PSTV,0.86
асимметрический,NEUT,-0.04
асимметричность,NEUT,-0.05
асимметричный,NGTV,-0.4
асимметрия,NEUT,-0.24
асинхронный,NGTV,-0.39
аскетический,NEUT,0.07
аскетичность,NEUT,0.11
аскорбинка,PSTV,0.57
аскорбиновый,NEUT,0.26
асоциальность,NGTV,-0.85
асоциальный,NGTV,-0.79
аспект,NEUT,0.1
аспирант,NEUT,0.47
аспирантка,NEUT,0.25
аспирантура,NEUT,0.42
аспирин,NEUT,0.35
ассасин,NGTV,-0.45
ассистент,NEUT,0.37
ассистентка,NEUT,0.31
ассистировать,NEUT,0.46
ассорти,NEUT,0.33
ассортимент,NEUT,0.2
ассортиментный,NEUT,0.07
ассоциативность,NEUT,0.23
ассоциативный,NEUT,0.25
ассоциация,NEUT,0.0
ассоциирование,NEUT,0.09
ассоциировать,NEUT,0.16
ассоциироваться,NEUT,0.17
астероид,NEUT,-0.08
астероидный,NEUT,0.0
астма,NGTV,-0.96
астматик,NGTV,-0.67
астматический,NGTV,-0.57
астра,NEUT,0.43
астрал,NEUT,-0.24
астральный,NEUT,0.15
астролог,NEUT,0.18
астрологический,NEUT,0.03
астрология,NEUT,0.28
астролётчик,NEUT,0.26
астронавт,NEUT,0.31
астронавтика,NEUT,0.43
астроном,NEUT,0.53
астрономически,NEUT,0.28
астрономический,NEUT,0.0
астрономия,NEUT,0.39
астрофизический,NEUT,0.0
асфальт,NEUT,0.0
асфальтобетон,NEUT,0.0
асфальтовый,NEUT,0.1
асфальтоукладчик,NEUT,0.24
асфиксия,NGTV,-0.82
атака,NGTV,-0.72
атаковать,NGTV,-0.68
атаман,NEUT,0.21
атаманство,NEUT,0.16
атаманша,NEUT,-0.11
атеизм,NEUT,-0.12
атеист,NEUT,-0.21
атеистический,NEUT,0.18
атеистка,NEUT,-0.19
ателье,NEUT,0.34
атеросклероз,NGTV,-1.0
атлантический,NEUT,0.09
атлас,NEUT,0.34
атласный,NEUT,0.26
атлет,PSTV,0.63
атлетизм,NEUT,0.54
атлетика,PSTV,0.58
атлетический,NEUT,0.52
атмосфера,NEUT,0.06
атмосферический,NEUT,0.27
атмосферный,NEUT,0.52
атомный,NEUT,-0.13
атомщик,NEUT,0.2
атрибут,NEUT,0.01
атрофироваться,NGTV,-0.9
аттестат,NEUT,0.47
аттестационный,NEUT,0.01
аттестация,NEUT,0.46
аттестовать,NEUT,0.54
аттракцион,PSTV,0.71
ауди,NEUT,0.05
аудиенц-зал,NEUT,0.05
аудио,NEUT,0.11
аудиовизуальный,NEUT,0.16
аудиозапись,NEUT,0.13
аудиокассета,NEUT,0.18
аудиосистема,NEUT,0.0
аудитор,NEUT,0.0
аудитория,NEUT,0.16
аудиторный,NEUT,0.09
аудиторский,NEUT,0.08
ауканье,NEUT,0.0
аукать,NEUT,0.16
аукаться,NEUT,0.24
аукнуться,NGTV,-0.4
аукцион,NEUT,0.25
аукционер,NEUT,0.24
аукционист,NEUT,0.0
аукционный,NEUT,0.0
аул,NEUT,0.0
аура,NEUT,0.31
аут,NGTV,-0.61
аутентичность,NEUT,0.41
аутентичный,NEUT,0.34
аутизм,NGTV,-0.7
аутист,NGTV,-0.49
аутотренинг,NEUT,0.5
аутсайдер,NGTV,-0.95
афера,NGTV,-1.0
аферист,NGTV,-1.0
аферистка,NGTV,-1.0
афинянка,NEUT,0.0
афиша,NEUT,0.26
афиширование,NEUT,-0.15
афишировать,NEUT,0.23
афишка,NEUT,0.26
афишный,NEUT,0.0
афоризм,NEUT,0.0
африканец,NEUT,0.26
африканка,NEUT,0.1
африканский,NEUT,0.0
афро-азиатский,NEUT,0.0
афроамериканец,NEUT,0.0
афроамериканка,NEUT,0.35
аффект,NGTV,-0.77
аффективный,NEUT,0.43
аханье,NEUT,0.23
ахать,NEUT,0.21
ахиллесов,NGTV,-0.46
ахинея,NGTV,-0.91
ахнуть,NEUT,0.12
ацетон,NEUT,-0.14
ацтек,NEUT,0.0
аэробика,NEUT,0.5
аэровокзал,NEUT,0.14
аэродинамический,NEUT,0.1
аэродром,NEUT,0.09
